1	2	-7.299062	-4.579425	9.089939	7.695623	8.684882	8.084308	-1.029964	1.962889
8	2	-5.567403	-6.382014	-7.105710	-0.657990	-11.848405	-6.382097	4.500274	9.394349
18	2	-5.772242	-9.221819	-4.244298	-3.307866	-11.872596	-9.221819	6.403345	8.193630
19	2	-9.789655	-3.068158	-4.871982	-2.348653	-15.838867	-3.109588	6.960295	6.628037
21	2	-5.205749	8.295361	4.449713	6.645736	5.646957	8.642430	-6.396997	1.045019
25	2	-12.096238	-5.030959	6.945200	7.311186	6.520291	6.937004	-10.373674	-4.086468
27	2	8.675835	7.656364	-12.511857	-0.252087	-6.848643	-2.378645	5.288921	8.169754
28	2	-7.313927	-3.780960	9.235561	6.501800	-5.081337	-3.780960	-2.706989	-3.946982
31	2	-9.867565	0.852437	5.971711	7.824683	4.639442	7.266728	-9.154210	-2.515855
32	2	3.410169	5.159512	-2.190457	5.387779	-7.836041	-2.130768	6.876072	7.157969
37	2	-9.521995	-3.114128	8.362966	7.005631	6.401967	6.405733	-4.613547	-2.219600
38	2	-8.539124	-3.503881	6.214043	5.435402	4.527583	5.867412	-3.302581	-7.158806
40	2	-10.020630	-2.583579	5.679185	7.201267	6.645688	5.205794	-6.806034	-3.832290
43	2	-2.797886	-4.492625	-8.957959	-6.308628	7.210509	6.073631	-12.404882	-6.308631
48	2	6.830373	6.412878	-4.749073	-9.239434	-0.298538	-3.537484	6.628999	2.620034
54	2	6.181058	7.938721	-8.831293	-9.257735	-5.069205	-4.077074	-2.293401	-9.230405
60	2	5.816462	6.405946	-7.003520	-5.866511	-0.721241	-4.659701	4.886345	0.515557
62	2	-9.505479	-5.961252	7.280508	8.586248	5.454344	5.791260	-4.571630	2.911087
63	2	7.328020	5.828968	-8.938426	-9.378369	-5.469045	-4.638412	-3.493094	-9.378369
66	2	7.991585	6.096010	-9.990919	-5.797307	-7.958818	-5.304930	7.245793	6.929022
69	2	6.437388	9.086481	-9.550836	-6.866091	6.396947	9.086450	1.367140	3.481310
76	2	6.040517	6.496282	-5.514710	-6.555793	-3.527061	-2.667281	7.438635	4.866760
82	2	-4.803388	2.991501	6.432587	6.066468	-8.747937	-4.906300	6.502879	6.066469
83	2	-9.328083	-6.197830	6.132282	6.057956	7.958152	5.922842	-10.108748	-5.521040
91	2	3.768311	8.163104	-4.755762	-0.704615	-10.447469	-1.402512	6.430249	6.836783
93	2	-4.888618	-8.866457	5.413806	8.027517	4.941995	-2.379720	-3.683916	-1.129232
95	2	-5.530388	-8.993077	-5.719976	-2.642162	-10.638118	-8.994420	4.279486	6.748736
97	2	5.042411	-2.615809	-6.746594	-6.563339	-3.749226	-6.701312	-6.652278	-6.563338
